city,city_total
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
